Node Name,Community,t-SNE X,t-SNE Y
DIAPH1,8,-14.529032,-15.745704
IKZF3,9,30.375523,29.662554
NT5DC2,1,30.54334,1.3755838
NCBP2,6,-23.650972,8.7662325
MRPL21,8,-14.5286875,-15.744859
FAM3C,6,-23.650967,8.7662325
COMTD1,4,2.6125007,32.96638
HSPG2,4,2.6124809,32.968338
TSPYL5,6,-23.651077,8.766765
NAGK,3,5.314901,5.0316544
DCXR,1,30.543612,1.3756028
SMARCA4,6,-23.650969,8.7662325
Vorinostat,6,-23.651041,8.766772
NUDT16L1,6,-23.651041,8.766772
KIAA0319L,8,-14.529612,-15.745275
PLEKHA6,4,2.6124516,32.9694
Dabrafenib (1373) + Trametinib (1372),8,-14.529032,-15.745682
TJP1,6,-23.650404,8.7662325
SWAP70,8,-14.529612,-15.745275
PDGFR_0615,6,-23.650972,8.7662325
PREP,8,-14.529031,-15.7457
U2SURP,8,-14.528992,-15.744856
OGT,8,-14.529031,-15.745695
DHX15,8,-14.529612,-15.745275
SNAPIN,6,-23.650974,8.766237
KRT20,8,-14.529032,-15.745704
TRNT1,7,9.621592,-25.414507
PAAF1,7,9.621617,-25.41475
MAK16,8,-14.529033,-15.745703
CAMK4,4,2.6125095,32.967808
RPA2,6,-23.65151,8.766232
DCTD,6,-23.651043,8.766771
ERLIN2,3,5.314799,5.0315886
BCAS2,3,5.3148785,5.031623
DOCK8,7,9.621454,-25.413763
IC-87114,4,2.6124547,32.966366
MAP3K20,7,9.621451,-25.413647
AP1G1,3,5.3148017,5.031865
ACSL5,3,5.3147883,5.0321236
Volasertib,6,-23.65097,8.766237
GBE1,1,30.543615,1.3756031
FOXK1,4,2.6124551,32.96639
CNN3,1,30.543314,1.3756039
HM13,6,-23.650974,8.766237
RAB14,1,30.540426,1.3755562
ANP32A,6,-23.651045,8.766771
ATP1A1,8,-14.529032,-15.745703
ZNF609,6,-23.651041,8.766771
KIF13B,3,5.314542,5.0313253
DCTPP1,6,-23.652145,8.76769
BLOC1S5,1,30.541178,1.3755921
PLX-4720,8,-14.529033,-15.745704
MTA3,4,2.6124673,32.96762
CCDC86,3,5.3147864,5.032335
SF3A3,3,5.3142076,5.0317965
SCLY,7,9.620843,-25.412487
PIM447,6,-23.64996,8.765216
PRPH,8,-14.52883,-15.744062
MRPL17,8,-14.528757,-15.744028
PM20D2,6,-23.65023,8.765382
REPS1,7,9.62103,-25.413752
UPF3B,6,-23.650057,8.765232
COPB1,3,5.3148146,5.0314054
PPIA,7,9.620993,-25.413677
PAFAH1B3,6,-23.649904,8.765577
WASHC2A,4,2.612452,32.969395
TPX2,8,-14.528757,-15.744028
RABGEF1,3,5.3147635,5.031693
OSTF1,8,-14.528758,-15.744046
Y-39983,4,2.6124935,32.9678
STX5,6,-23.650423,8.767201
OPA3,8,-14.5288315,-15.74403
DYNC2H1,6,-23.650434,8.765225
CLPX,4,2.61245,32.966515
CDCA3,6,-23.650436,8.765226
KRT17,1,30.542768,1.3756574
PPP6R3,7,9.620975,-25.413773
Barasertib,6,-23.65016,8.765226
DNAJC19,1,30.54331,1.3755834
KIT_6754,4,2.612508,32.96661
SUZ12,6,-23.649435,8.765234
Taselisib,1,30.542585,1.3756305
RPL37A,6,-23.650055,8.765231
FAM83H,1,30.543615,1.3756138
COPG2,6,-23.64993,8.765233
RHOB,1,30.543085,1.3755951
ARMC1,6,-23.65215,8.76769
PSAT1,7,9.620954,-25.414762
ATIC,7,9.621139,-25.414042
CTNNAL1,4,2.6124508,32.966667
LIMD2,1,30.543072,1.3755945
STRAP,7,9.620831,-25.413042
CBFB,1,30.54256,1.3756036
FKBP15,3,5.3141837,5.0322847
CAT,9,30.375328,29.663551
EHHADH,1,30.542002,1.3756787
TMPO,6,-23.650059,8.76523
RBM14,3,5.3147907,5.032076
GNE7915,2,-7.8726773,7.4272676
DYSF,8,-14.528757,-15.744046
COL1A2,4,2.6125011,32.967182
HSD17B8,1,30.542572,1.3756424
LSM6,6,-23.64993,8.765233
MYO1D,8,-14.528757,-15.744064
SPRYD7,3,5.3147745,5.031857
OGA,7,9.6213665,-25.41378
DCAF16,1,30.545242,1.3756005
RCC2,6,-23.650057,8.765231
NOSIP,1,30.54108,1.3755845
NRAS,4,2.6124942,32.968037
ISOC2,1,30.54213,1.3755951
WNK1,1,30.542923,1.3756373
KLC1,6,-23.650436,8.765226
CANX,6,-23.650156,8.765226
DAGLB,4,2.6125104,32.968117
C17orf80,3,5.3141513,5.0317745
SIGIRR,9,30.375244,29.66346
AASDHPPT,6,-23.650055,8.76523
THOC6,8,-14.528758,-15.744046
TSN,6,-23.649435,8.765234
RBM26,6,-23.649904,8.765283
CHTOP,4,2.6124806,32.967678
PAK2,7,9.620912,-25.413406
SETD7,7,9.62164,-25.41395
RK-33,6,-23.65108,8.766766
AZ960,8,-14.52903,-15.745696
FAAH,3,5.314825,5.0319386
SLK,7,9.621519,-25.41451
GAL,4,2.6125007,32.966507
HMOX2,6,-23.649961,8.765216
UNC45A,3,5.31485,5.0319767
SL0101,4,2.6125007,32.96631
GLYR1,1,30.543612,1.3756033
UQCRC2,4,2.612467,32.9667
KIF21A,6,-23.651045,8.766773
EXOSC7,1,30.543182,1.3755991
Senexin B,4,2.6124804,32.966236
AGRN,1,30.543535,1.3755846
DHRS7B,1,30.541855,1.3756325
SP100,4,2.6124659,32.9692
MIF,7,9.620969,-25.413229
SMN1,8,-14.528757,-15.744046
GALNT2,6,-23.649323,8.76538
IGF2BP1,6,-23.650436,8.765226
VGF,4,2.6124794,32.963406
ARHGEF11,8,-14.5288315,-15.74403
SCAMP2,1,30.54361,1.3756034
CHAF1B,8,-14.529033,-15.745703
Docetaxel,6,-23.649323,8.76538
RCC1L,6,-23.650433,8.765226
SMAD4,7,9.621027,-25.413744
SNF8,4,2.61245,32.966377
RPS5,7,9.62159,-25.414894
IQGAP1,4,2.6124458,32.96643
PDCL3,6,-23.64932,8.765378
DKC1,3,5.3148003,5.03213
RAB11FIP5,4,2.6125093,32.967743
WIPF1,1,30.541765,1.3756135
AUP1,6,-23.650436,8.765226
AS601245,6,-23.649902,8.765283
KHDRBS3,6,-23.651764,8.774387
THBD,4,2.6125112,32.969147
DMAC2L,1,30.541403,1.3755902
YTHDF2,7,9.621224,-25.414219
KRT4,1,30.545233,1.3756005
TOP3A,4,2.612466,32.96913
FAM98A,7,9.621164,-25.413313
ZNF830,4,2.612509,32.967884
PBDC1,7,9.621371,-25.413778
NELFB,6,-23.650425,8.7672
PPT1,1,30.540697,1.3755649
TENM3,8,-14.529301,-15.744134
HSD17B11,8,-14.528757,-15.744046
PD0166285,4,2.6124496,32.966373
GTF2F2,7,9.62098,-25.413263
PEX19,7,9.621177,-25.41379
PHC2,1,30.542608,1.3756216
ARL15,3,5.3148813,5.0306
CAAP1,6,-23.651041,8.766772
PPP2R5E,3,5.314138,5.031401
ATG9A,6,-23.650158,8.765226
LARP4,7,9.621048,-25.413403
GRPEL1,8,-14.529302,-15.744134
COL18A1,7,9.621335,-25.414278
MRPS6,1,30.543343,1.3755838
INTS4,7,9.62114,-25.41369
QPRT,1,30.544264,1.3756677
ZNF292,1,30.54266,1.3755778
CNST,5,-13.447529,-2.5933554
HBS1L,1,30.54172,1.3756024
BAX,7,9.620906,-25.413092
HELLS,8,-14.528758,-15.744046
KIN001-260,8,-14.528757,-15.744028
eCF309,3,5.314734,5.032097
DDX3Y,7,9.621602,-25.414436
PUF60,7,9.621354,-25.413326
RO-3306,6,-23.650967,8.7662325
EFHD2,4,2.612467,32.967606
JUNB,1,30.542397,1.3756046
TRMT61B,1,30.543621,1.3756039
SEC23IP,3,5.314704,5.0321217
USP9X,1,30.542587,1.3756217
TMED5,7,9.621614,-25.414389
ZM447439,6,-23.651045,8.76677
DDX39A,6,-23.650972,8.766236
CAVIN3,4,2.61249,32.967663
HSPH1,7,9.621608,-25.41449
SOAT1,4,2.5953465,33.12653
HMG20B,7,9.621398,-25.413649
PHB2,7,9.62123,-25.41365
PSMD14,7,9.621608,-25.414429
KDM3B,6,-23.651045,8.766771
NELFA,7,9.62143,-25.414232
FRG1,6,-23.651062,8.766765
CUX1,1,30.541973,1.3756121
AGFG1,6,-23.65042,8.766212
MYO1G,3,5.314863,5.03158
RSL1D1,3,5.3147807,5.0320687
BLOC1S3,1,30.542973,1.375601
MED1,4,2.61251,32.966278
TXNIP,4,2.6124673,32.966236
TSFM,4,2.6124814,32.96796
AATF,3,5.3147006,5.0323157
SIRT2,4,2.6125033,32.967182
MAT2B,7,9.621279,-25.413763
CHCHD1,7,9.621388,-25.413605
HNRNPA2B1,8,-14.529031,-15.745703
ANXA4,7,9.621436,-25.414095
SBF1,8,-14.517946,-15.743141
ALCAM,4,2.6124926,32.966286
VPS25,8,-14.529032,-15.7457
KRT23,9,30.37518,29.663132
NONO,3,5.314775,5.0316863
CAP2,4,2.6124673,32.966232
MAPT,8,-14.529612,-15.745275
SMNDC1,6,-23.65097,8.766236
OCLN,8,-14.529032,-15.745704
MESD,8,-14.529031,-15.7457
Venotoclax,3,5.3148723,5.031504
PPP1CA,4,2.612447,32.966366
DDAH1,6,-23.650425,8.766212
TWF1,7,9.621618,-25.414389
RFC5,7,9.621596,-25.41414
UXT,7,9.621589,-25.41451
YK-4-279,6,-23.650417,8.766211
EEF1A2,8,-14.529032,-15.745704
Epirubicin,9,30.37607,29.663399
ACIN1,8,-14.529031,-15.7457
LCMT1,6,-23.6504,8.766233
CKMT1A,4,2.6125093,32.96666
OGFR,8,-14.529817,-15.745295
CYFIP1,6,-23.65097,8.766236
STARD10,3,5.314221,5.0314984
FNBP4,7,9.62151,-25.414167
LYRM7,4,2.6124501,32.966133
AMG900,6,-23.65104,8.766771
PARP4,4,2.612508,32.967342
Quizartinib,4,2.6124432,32.968056
PAX5,6,-23.650974,8.766237
WZ3105,7,9.621372,-25.413345
ANXA3,3,5.3147902,5.031622
ABHD12,4,2.612495,32.96833
AZD7969,7,9.621754,-25.41416
MFAP1,8,-14.529031,-15.745695
Pilaralisib,6,-23.65094,8.766713
MFF,3,5.314825,5.031567
Poziotinib,1,30.541473,1.3755963
SMPDL3B,8,-14.528687,-15.74486
RALA,1,30.543077,1.3755933
TMED7,8,-14.529612,-15.745275
STK4,2,-7.87261,7.4279885
ISCA2,1,30.541794,1.3756019
Everolimus,7,9.621617,-25.414988
DNMT1,7,9.621454,-25.413631
STAT1,4,2.6124501,32.966835
UCHL5,6,-23.651506,8.766232
MRPL16,8,-14.529031,-15.7457
NADK2,1,30.542597,1.3756219
COQ6,6,-23.650425,8.766212
TCOF1,3,5.314678,5.0327644
TXNDC15,1,30.541613,1.3755953
MAN2A1,8,-14.528687,-15.74486
DDX39B,8,-14.529034,-15.7457075
SAFB,4,2.6125114,32.969345
COMMD3,6,-23.651043,8.766771
YARS2,1,30.542572,1.3756038
AZD2014,6,-23.650974,8.766237
CACNA2D1,6,-23.65104,8.766771
SDF2L1,6,-23.651041,8.766772
PLEKHF2,1,30.541077,1.3755842
FDFT1,6,-23.65042,8.766212
CAP1,4,2.612501,32.9663
TRADD,6,-26.318043,6.2155747
PNKP,4,2.612443,32.96583
VTI1B,6,-23.651041,8.766771
PI3Ka_4409,7,9.621489,-25.415033
EFTUD2,8,-14.529032,-15.745704
CPM,7,9.665521,-25.551636
RPL18,7,9.621481,-25.41377
MAFF,1,30.542606,1.3756208
NOP9,8,-14.529032,-15.7457
TACO1,6,-23.65122,8.766769
TUFM,4,2.6125104,32.96813
NVP-BHG712,8,-14.529032,-15.745704
CARMIL1,6,-23.652163,8.765953
SS18,7,9.621644,-25.414385
rTRAIL,4,2.6124928,32.966526
NMRAL1,6,-23.650974,8.766237
CB-839,6,-23.652163,8.765953
RALY,8,-14.528688,-15.745688
TBCD,6,-23.650417,8.766212
EDC4,6,-23.652163,8.765953
MAP7D1,4,2.6124895,32.96632
ARL2,4,2.6125038,32.968002
ATP6V1E1,3,5.3147783,5.0317283
NASP,6,-25.397577,9.187097
COPS5,1,30.541718,1.3756026
PRTFDC1,4,2.612468,32.969284
UXS1,1,30.543179,1.3756019
PPIF,6,-24.448906,8.431987
DDX23,8,-14.529031,-15.745696
GNL2,6,-21.31812,7.2791433
BROX,4,2.6124673,32.96786
LPP,4,2.6125102,32.967957
PLPBP,6,-26.01917,8.279865
TOR1B,6,-22.807327,8.565197
GABPA,1,30.542658,1.3755778
COX6C,8,-14.529032,-15.745704
ERI3,6,-21.686232,8.992836
Mirin,3,5.314816,5.032198
AP2A1,6,-26.420624,9.355644
AZD8835,1,30.541857,1.3756326
HSPE1,4,2.612509,32.968723
ADH5,7,9.621295,-25.414173
NGRN,7,9.621729,-25.41553
PLCB3,9,30.375559,29.66313
CHCHD6,1,30.54361,1.3756028
UAP1,4,2.6124816,32.967896
KIAA1143,7,9.621338,-25.413683
OCIAD1,8,-14.52877,-15.745481
FNBP1,4,1.6979952,35.22414
PRKACB,1,30.540365,1.3755741
SKP1,7,9.621418,-25.41367
HPF1,6,-23.501343,9.545415
ELF2,8,-14.529818,-15.745277
OBSL1,8,-14.529032,-15.745695
GRK2,6,-21.618168,11.022338
HEBP1,8,-14.528688,-15.7456875
UBE2K,6,-21.119371,11.884789
AZD4205,8,-14.529031,-15.745696
GNS,8,-14.529612,-15.745275
PLD2,7,9.621734,-25.413868
NUP50,7,9.621599,-25.414394
Alectinib,7,9.621402,-25.412807
POLR2D,6,-22.919758,9.178388
PYGM,8,-14.529426,-15.745688
NFYC,8,-14.528687,-15.744859
SN-38,7,9.621606,-25.414295
UQCC1,6,-25.592178,9.821106
GLRX5,4,3.0460408,31.716824
AST-1306,1,30.54354,1.3755846
PSMD3,7,9.621592,-25.41441
DPYSL4,6,-23.169724,7.0830884
HDDC2,7,9.621648,-25.414232
RTN4IP1,1,30.542585,1.3756336
JPH1,6,-21.99968,10.448097
RAN,6,-23.98617,12.201997
Capmatinib,3,5.314628,5.0310397
S100A8,1,30.543617,1.3756031
TP63,1,30.543293,1.375583
ZC2HC1A,4,3.8479035,35.822636
ALDH5A1,1,30.541962,1.3755982
NUP43,3,5.314702,5.032126
GSTZ1,3,5.314763,5.031833
PXDN,2,-7.8728833,7.427516
TRIP6,1,30.543613,1.3756031
Imatinib,2,-7.8724546,7.427149
PCBD1,7,9.621371,-25.413397
FDXR,1,30.541931,1.3755918
CNOT1,7,9.621328,-25.413563
THOP1,6,-25.750952,10.55075
SPRY4,8,-14.5286875,-15.74486
DDX10,3,5.3148084,5.0310464
UBXN4,1,30.541933,1.3755919
MICOS13,8,-14.529031,-15.745704
HMGCS1,8,-14.528687,-15.74486
MEAK7,4,2.61245,32.96656
STAT3_2372,4,2.6124668,32.967613
Temsirolimus,4,2.6124809,32.968124
CWF19L2,1,30.543177,1.375602
ARHGAP25,7,9.6212435,-25.413565
SEC11A,3,5.314794,5.03158
L1CAM,4,2.612493,32.9665
GPKOW,8,-14.529032,-15.745703
ATXN10,6,-23.905592,6.900854
ELAVL3,4,2.6124513,32.968014
BIN2,8,-14.529031,-15.745695
SDHAF2,1,30.54318,1.3755993
NEK9,3,5.314496,5.0311418
YIPF6,4,2.6124935,32.967617
KIF4A,1,30.542591,1.3756218
ARFGAP3,4,2.6125093,32.967327
HCFC1,6,-22.881952,10.464155
TOMM34,1,30.54085,1.3755677
NUCB2,8,-14.529031,-15.745695
PDZD11,1,30.54081,1.3755965
WHI-P97,1,30.210524,1.3259113
PTMA,6,-20.254246,9.863182
VAMP7,6,-25.397577,9.187097
Selisistat,1,30.542658,1.3755778
RBM10,6,-25.682487,11.315032
SNAP23,8,-14.529031,-15.7457
IWS1,6,-26.318043,6.2155747
NKAP,7,9.621263,-25.413296
VE821,6,-23.47798,7.165636
PROM2,3,5.3146815,5.032276
TMX4,4,2.6125083,32.966606
SERPINA1,7,9.621315,-25.413523
NHP2,3,5.3147836,5.0319047
ACSS1,6,-23.891737,9.50172
STAT3,4,2.612467,32.966232
SRSF2,4,2.6124675,32.967285
SVIL,1,30.542585,1.3756306
TBRG4,6,-23.853613,9.68942
DNAJC13,8,-14.528687,-15.74486
LNPEP,4,2.6125104,32.969467
FECH,7,9.621373,-25.413462
RFTN1,3,5.31472,5.0317273
OAS2,3,5.31485,5.031683
AFDN,8,-14.529868,-15.745297
UTP3,3,4.3532276,5.133587
SATB1,3,5.3148427,5.0318613
S100A2,1,30.541862,1.3756329
PIP4K2A,9,30.37518,29.663132
ARAP1,8,-14.529032,-15.745704
TTLL12,6,-20.311922,6.0238733
ELOC,7,9.62159,-25.414202
RAB5A,6,-22.987556,5.106563
ATP11C,8,-14.529869,-15.7452965
SEC23B,3,5.3148203,5.0319176
ZFPL1,1,30.542562,1.3756044
HSP90AB1,7,9.62155,-25.413961
SERINC1,7,9.621592,-25.415176
HLA-F,1,30.541866,1.3756427
RABEP1,1,30.54044,1.3755562
FARP1,3,5.3148417,5.0319457
MCM6,6,-23.866217,7.9196954
PSMD11,7,9.6213665,-25.413872
KMT2D,8,-14.529029,-15.744856
MRPL13,1,30.541931,1.375592
IARS2,1,30.540365,1.3755741
CPSF1,8,-14.529032,-15.745703
NUTF2,6,-25.17253,12.930278
NOP14,3,5.3147902,5.0311112
LYPLAL1,3,5.314212,5.031647
IGSF3,4,3.0460408,31.716824
BCL6_7224,4,3.0460408,31.716824
RDH10,6,-19.86454,6.9411297
IGFBP7,4,2.6124501,32.96691
EWSR1,6,-24.934616,9.702979
BAZ2A,1,30.542671,1.3755776
RAB5C,6,-25.266077,8.45304
NUDT9,4,2.6124504,32.96681
ARFIP2,1,30.540798,1.3755758
TRMU,8,-14.529032,-15.745703
TUBA1C,1,30.543596,1.3756036
GSK3B,6,-24.36283,11.860508
RHEB,4,2.6124508,32.96645
IRF2BP2,1,30.541813,1.3755955
JCHAIN,6,-22.89041,8.475631
C1orf52,3,5.3148465,5.031731
SSU72,7,9.621234,-25.414087
CD151,4,2.6124501,32.96682
SIAE,1,30.54318,1.3755994
DCAF7,6,-20.311922,6.0238733
GSDME,4,3.0460408,31.716824
NVL,8,-14.52961,-15.744864
C19orf53,7,9.621359,-25.412422
NUDT1,6,-22.919758,9.178388
RPS13,7,9.621529,-25.41406
GPRC5C,3,5.314566,5.0323796
PCYOX1,1,31.461079,1.475186
HNRNPA0,6,-19.86454,6.9411297
RPS7,7,9.621439,-25.41519
PMVK,3,5.314696,5.032017
ADO,1,31.535595,3.6769361
RPL4,7,9.621479,-25.413734
MRPS12,8,-15.194985,-18.890545
ITGA6,8,-13.817157,-17.655865
NCBP1,7,9.621511,-25.414114
PYM1,6,-23.135769,11.376106
KIAA2013,7,9.62132,-25.413332
RPL12,7,9.621309,-25.413496
EPS8L3,6,-25.266077,8.45304
SMARCD3,1,29.694431,2.3752785
EPS8L1,4,2.6124685,32.96868
MRPL40,8,-16.063667,-17.824535
PRODH,1,29.694431,2.3752785
PURB,3,5.3147693,5.0319343
LMAN2L,4,2.6125085,32.967728
RAB7A,8,-14.552432,-16.590187
MAP2K1,7,9.621469,-25.414186
SV2A,6,-22.14187,7.767364
ALG1,8,-16.257612,-19.079823
CLNS1A,7,9.621602,-25.413977
XAB2,8,-14.389684,-18.493689
STX7,8,-16.257612,-19.079823
INPP5D,6,-23.905592,6.900854
MT-CO2,8,-13.566965,-16.91643
PRKAR2B,8,-18.062971,-16.928957
AC220,2,-7.872548,7.4276614
RPS24,4,2.6124668,32.967613
AMACR,3,5.314781,5.0323253
Vinorelbine,6,-22.735785,8.995857
SNX3,7,10.606955,-25.158129
TIMM10B,4,2.612501,32.966717
MUC13,6,-19.87054,9.235798
GALE,8,-18.090443,-15.798325
RCSD1,7,10.208709,-23.82404
Saracatinib,7,9.621416,-25.414804
NUF2,7,7.26232,-24.524055
PGM1,8,-17.813393,-14.240395
MANF,7,9.185683,-26.325819
ECHDC1,8,-17.813393,-14.240395
TRIP10,8,-13.883331,-14.168286
PLS1,4,3.0460408,31.716824
UBE2T,7,10.606955,-25.158129
YIPF4,7,8.127494,-26.01842
NDC80,4,2.612451,32.969498
CSTF2,7,9.621304,-25.413544
SHMT1,9,30.37518,29.663132
ENPP1,1,31.461079,1.475186
ZNF148,8,-12.770259,-16.9902
BST2,3,5.3144298,5.032248
DTD1,7,10.490726,-27.482845
GIPC1,8,-12.770259,-16.9902
SCG3,6,-21.120962,10.377004
TRIM33,6,-25.400387,10.100954
PSMD7,7,10.208709,-23.82404
UQCRC1,4,1.6979952,35.22414
AARS2,7,7.26232,-24.524055
RAB4A,1,29.658754,0.42523578
ENDOD1,4,1.3561968,33.159035
AHNAK,4,1.3561968,33.159035
DPY30,4,1.3561968,33.159035
SIN3A,6,-19.67082,8.47591
XPO5,6,-23.098373,9.413627
TTC19,6,-25.682487,11.315032
NOC3L,8,-14.451815,-17.27248
SDR39U1,4,3.6777396,33.7389
LETM1,4,3.0460408,31.716824
TMEM30A,4,3.6777396,33.7389
TMEM201,1,30.971159,-0.7626673
AGMAT,1,33.246178,0.14463937
SPR,1,30.971159,-0.7626673
MLLT1,7,8.127494,-26.01842
KRT8,8,-13.658935,-15.481944
Venetoclax,6,-24.665642,8.116407
PARVA,4,3.6777396,33.7389
SURF6,8,-15.412544,-18.03206
CHD7,8,-17.813393,-14.240395
MAZ,7,10.490726,-27.482845
CRYZ,7,8.975168,-24.748348
DNASE2,3,5.314645,5.0313296
BDH1,1,31.461079,1.475186
DSN1,6,-22.87247,11.946198
MTIF2,4,3.6777396,33.7389
DNAJC7,7,9.185683,-26.325819
LSM14B,6,-23.905592,6.900854
SDHB,1,29.658754,0.42523578
RABEP2,4,3.6777396,33.7389
PRKAA1,4,3.0460408,31.716824
TMEM106B,3,5.31474,5.0318913
METTL7A,1,30.971159,-0.7626673
FLII,4,3.0460408,31.716824
ARMC10,1,31.535595,3.6769361
GLMP,8,-15.33519,-16.133198
COX7A2,8,-17.08009,-15.332486
JAK3_7406,4,1.3561968,33.159035
TRIP13,1,29.658754,0.42523578
PRC1,8,-15.645676,-14.499069
STK24,9,30.375805,29.662205
S100A16,1,31.461079,1.475186
DNAJB6,8,-15.512597,-11.979373
DNAJB12,6,-25.771969,5.3257365
CBR3,9,30.375559,29.66313
LEMD3,1,31.535595,3.6769361
RARS2,3,5.314878,5.0316234
GOSR1,7,10.490726,-27.482845
EEPD1,8,-15.645676,-14.499069
DDX5,1,31.461079,1.475186
DDX3X,1,33.246178,0.14463937
PDLIM1,1,31.461079,1.475186
GOLGB1,6,-23.215666,13.028507
SRP14,6,-23.82294,9.770125
CHMP2B,8,-11.6402,-15.5882635
STX17,1,29.694431,2.3752785
EPB41L3,8,-13.109699,-16.076801
MRPL22,8,-13.694469,-18.452286
RGS19,1,31.461079,1.475186
ACP6,3,5.3147826,5.0307713
UNC0379,6,-22.881952,10.464155
STOML2,1,33.246178,0.14463937
ROBO1,8,-13.088303,-17.777927
GNA11,4,1.3561968,33.159035
SCAMP1,4,1.3561968,33.159035
TFB2M,8,-13.817157,-17.655865
FAM114A1,3,5.314788,5.0319757
PSMD9,7,13.374474,-24.510973
PHF5A,7,8.127494,-26.01842
RPL6,7,11.885436,-27.60234
PDIA4,6,-23.894794,6.1665783
DHFR,8,-15.581301,-19.570583
PSMD10,3,5.314489,5.0318017
PTDSS2,6,-26.991655,10.547942
ELMOD2,1,28.148022,1.2325627
TOX4,8,-11.825322,-16.589722
RPIA,4,3.6777396,33.7389
TBL3,3,5.3147435,5.031727
RBMXL1,9,30.376184,29.662657
RTCA,6,-25.368385,10.676682
SKP2,7,8.127494,-26.01842
MAGED2,8,-17.08009,-15.332486
EGF816,1,30.971159,-0.7626673
FEN1,7,6.780987,-27.114393
DNAJB2,3,5.314493,5.0317354
FIS1,8,-17.08009,-15.332486
BMS-754807,6,-24.675406,6.764217
ELAVL1,8,-14.453148,-14.9088545
RPL26,3,5.314814,5.0318666
PSMB1,7,7.8588586,-28.659115
Sunitinib,6,-23.866217,7.9196954
EIF2B1,6,-22.367323,7.1486425
DCPS,7,9.383503,-28.918146
ARID1B,6,-22.010841,9.535552
CORO7,6,-22.236477,9.59621
F5,1,31.461079,1.475186
NVS-PAK1-1,7,9.383503,-28.918146
PSMD8,1,31.535595,3.6769361
LRP8,3,5.3148,5.0316205
TRUB1,6,-22.987556,5.106563
TNS4,7,8.975168,-24.748348
LYRM4,1,33.246178,0.14463937
IGF2R,1,28.148022,1.2325627
CLN6,7,8.127494,-26.01842
LYAR,3,5.314891,5.0308337
MEMO1,8,-17.052464,-18.770918
PPIG,8,-14.389684,-18.493689
MYO1B,1,29.694431,2.3752785
Bortezomib,7,8.33935,-27.342134
ASPH,6,-21.594496,9.18281
GINS2,9,30.376,29.662827
CHERP,8,-12.694408,-15.1817465
KRASi,7,8.975168,-24.748348
